x y z
6.736371700196662538e+00 1.314026994572653706e+01 -9.461157737697448056e+00
-6.464385920334595248e+00 1.857784260036596891e+01 -8.042638128508624362e+00
-4.383250415309950299e+00 1.036873710028516626e+01 7.168923816233520263e+00
1.046355193044654075e-01 4.570041203981794808e+00 7.839937726593165124e+00
-8.867349079870633588e+00 2.099007219832309090e+00 -4.361391091589862157e+00
-7.185289048658020761e+00 1.458057601086018984e+01 5.094415292421644814e+00
-9.082707143953589579e+00 2.095703292880182644e+01 -3.714796321809987312e+00
-7.343801417620966276e+00 1.173536571794267758e+01 4.912225198346829913e+00
-9.393765086864901193e+00 1.181135628749002642e+01 2.580928805526874759e-01
1.251205992436627312e+01 4.008246282003878669e+00 2.534923630325626842e+00
6.218408912229372199e+00 4.944966857737087551e+00 -3.440250491537951705e-01
-6.362697262972528689e-01 1.884583014970538528e+01 -1.091884464644835617e+01
-2.502900379356828520e+00 1.197817052378483460e+00 7.772461796266317613e+00
1.170603798920330973e+01 6.659289688781504957e+00 -3.655945819920494166e+00
2.915776049708398432e+00 7.878289081470725819e+00 -4.420459467918450791e+00
3.001805725059508045e+00 2.030785347210629865e+01 1.359228683196303145e+01
7.827333926955084564e-01 1.885045364222961428e+00 -4.810425743758253603e+00
-9.455309034520638534e+00 1.999234954266795583e+01 -1.640509597337064696e+00
4.368360089452478778e-01 1.859353873042291028e+01 7.785687555927833792e+00
2.150041018436271933e+00 6.372025459191287489e+00 -4.672716121921268950e+00
1.670282661878522035e+00 6.948035987744358266e+00 -4.765270516336085116e+00
6.326477003170131397e+00 1.686107918533831196e+01 3.279003165953974785e-01
-8.088357420029225864e+00 7.419401595983307729e+00 -5.984847726423385694e+00
8.037775831205015820e+00 1.229055450899878643e+01 1.084561877730248902e+01
5.091745145977585985e+00 1.346870464357260389e+01 4.870959816459529357e+00
9.482982821551571462e+00 1.249991386470366628e+01 9.392253860197177673e+00
6.257744598158322624e+00 4.943075533755872719e+00 2.135281672798158947e+00
-6.770832074819333357e+00 1.245276450515283173e+01 5.526907952007131364e+00
2.411314010056250901e+00 1.146276642632321163e+01 7.131277606279097903e+00
9.818239548282033269e+00 6.707453791147636180e-01 8.982640164672062610e+00
8.237327127529587401e+00 4.646188608464839831e+00 1.067003126223973730e+01
9.417843536761376200e+00 1.359672559504694433e+01 -7.287039838342159292e+00
-9.257201537120890222e+00 3.916336748064944917e+00 1.028353520501452234e+00
-3.583013970370739543e+00 7.993722143129833313e-02 7.487151132627227312e+00
2.097298450040799178e+00 1.729656917378806114e+01 -1.098580839749883964e+01
-9.436227495451706915e+00 2.302560246596440763e+00 -1.146139910278693719e-01
-3.617579736672161594e+00 2.010105969094282585e+01 -1.001566498830055885e+01
4.646713087637752260e+00 6.455432746385223908e+00 1.298732653681969573e+01
1.112073116065459466e+01 3.102072994478251466e+00 -4.897810460862848103e+00
-8.794989711511972175e+00 2.003826711882271283e+01 -4.549896706738519647e+00
1.182218762282722935e+01 1.798562940201261284e+01 5.393505194121143376e+00
5.125748922072276947e+00 7.312736745882272515e+00 -1.024903260929631799e+01
6.289206394123189270e+00 6.280479226787474278e-01 3.861385142475416699e-02
-7.921340118215820958e+00 1.552324951587865876e+00 4.149273233911862313e+00
-9.248652777740211661e+00 2.610009225264020571e+00 1.066635603319136871e+00
-9.474705412097378598e+00 8.776883993355713898e+00 -7.731128310988484298e-01
6.155073266528690468e+00 2.421939755177870968e+00 2.604686642997696921e+00
-7.734979966238642035e+00 1.172460217872147936e+01 -6.535472402409443937e+00
8.894984120041860010e+00 3.964624210116652669e+00 1.003807262768862607e+01
4.088257399969561945e+00 1.602314278683685700e+00 -3.741678126966713425e+00
-2.565978026036322301e+00 1.963623176525998915e+01 7.760092482539540093e+00
5.891525612304977955e+00 1.511219676395460532e+01 3.411748914601950844e+00
-2.998721313990050596e+00 1.066009699953510648e+01 -1.028353738155920460e+01
9.777394621364262406e+00 1.840378573969995557e+01 -6.876550344479428922e+00
6.756077342356089588e+00 1.762799993015481448e+01 -9.449510086083080296e+00
-3.092552481380556273e+00 7.009528717778048090e+00 7.636327515089151419e+00
7.232928959977781957e+00 1.502873251554482081e+01 1.148792311420312551e+01
-6.274311783850810897e+00 1.114470429267612772e+01 5.974551349691137325e+00
6.357496944752241141e+00 1.902598493492025966e+01 1.199583797153195519e+00
-9.429523241577816961e+00 5.589211790994477624e+00 -4.579466519771441951e-02
4.144242334096698066e+00 1.328559089707474961e+01 5.942696265745341933e+00
-1.159873371143026022e+00 9.509205055463014755e-01 7.914954316275850665e+00
3.699196625095638180e-01 4.481269476737321789e+00 -4.775392069945816331e+00
3.414372768356234711e-01 2.771460686137643847e+00 7.802784341806789037e+00
-9.034641725724126715e+00 3.155813079262775211e+00 1.852267321352407237e+00
3.276232762145985689e+00 1.093337489359319292e+00 -4.253212162599069757e+00
5.710747555480336857e+00 9.005213359602299406e+00 -1.778491509048577557e+00
-3.032164271451065485e+00 8.929878551372256723e+00 -1.027023763882911034e+01
6.622852698886928735e+00 1.883420249384919032e+01 -9.527239642020486343e+00
-8.110912969879725765e+00 7.980801421204709811e+00 -5.946855037739634753e+00
1.260524364923709228e+01 2.720305477026118135e-01 1.128576242134789576e+00
6.037514720734406204e+00 9.908766356617439541e+00 3.008203692674126462e+00
1.210840701239662032e+01 2.055822417543479830e+00 4.516744666168980515e+00
3.299416523219425024e-01 1.637389803913625030e+01 -4.770051081609538279e+00
-5.322841754986965768e+00 1.918296147080646463e+01 -9.006473249432488615e+00
1.894674871840400510e+00 1.881999257103388956e+01 -4.728025348945259942e+00
1.223082254313337813e+01 1.859715060633929085e+01 -2.045392314818547774e+00
1.208639038788834874e+01 7.916425850731496183e+00 -2.570864956916508515e+00
-4.987269790244355683e+00 1.061743174627261155e+01 6.861484484889486701e+00
6.267569392713750354e+00 6.825572101233872147e+00 2.079519613492660124e+00
-8.217575132687155559e+00 1.375992234919788970e+01 3.679603057837674829e+00
5.844052517440907479e+00 1.959353798668028190e+01 3.527781165085587034e+00
1.894597164311460746e+00 8.795823805289934683e+00 -4.728040073619027339e+00
1.256921681762514531e+01 1.466080324580914152e+01 3.643852987224172751e-02
6.274493225894456572e+00 3.390303082021438819e+00 2.038415052679448447e+00
-7.153124928076159073e+00 5.183945998313852499e+00 5.130172878730581587e+00
5.563579701919854514e+00 1.814758137813521444e+01 -2.051807216214237783e+00
-9.472247281290670173e+00 8.511024799780132710e+00 -6.854434822581466635e-01
-7.801998291760186888e+00 4.274017554603609881e+00 -6.436919162808885986e+00
6.291618280559093002e+00 1.420384855980935512e+01 5.454602234232808211e-02
-9.133355042303703542e+00 2.042072071655800158e+01 1.523299630285580131e+00
7.309010496067021911e+00 4.889591131599168028e-01 -9.100510351193092262e+00
2.406491558277135123e+00 1.660612461919721738e+01 -4.603004168493352033e+00
-2.153264089679665094e+00 1.538168269128175147e+01 7.831674620923757324e+00
5.678995250077603529e+00 9.823828936272690271e+00 -1.840467234166460742e+00
1.078187368200802254e+01 1.871669062189940291e+01 7.578833548383306251e+00
2.885554179496802596e-01 1.576423916548520943e+01 -1.101797989156665913e+01
-8.820927850735397868e+00 1.643052749034823279e+01 -4.483643202909131098e+00
8.759573681660004496e-01 1.573207574696290756e+01 7.690851012835508094e+00
4.506575479675752227e+00 3.650039411993515337e+00 1.304830376279775450e+01
6.735460501045221093e+00 3.407148270828110892e+00 -9.461695059742046610e+00
7.362453980439048529e+00 1.097721599484959754e+01 1.139120170314396496e+01
1.101971185278816812e+01 1.441817628203300394e+01 7.162166988355067154e+00
-7.807208963283683190e+00 6.507820918708334901e+00 4.314259885532490735e+00
6.123193877129608609e+00 6.304959450006262678e+00 2.723980090524383169e+00
1.243306356960547632e+01 2.064507418997798283e+01 -1.079040199208811668e+00
1.168816903824578013e+01 4.847613885345113616e+00 5.743531655815886872e+00
-8.526697054783584306e+00 1.105662926345818953e+01 3.107480959893569761e+00
1.242703514751803517e+01 1.234158930499289397e+01 3.117849660406406986e+00
1.256998162705160027e+01 2.360036815048559333e+00 4.647031636704215124e-02
-1.578798716310025663e+00 1.210303135735364854e+01 -1.073405203623171644e+01
-9.477290914757073637e+00 7.623215231746740095e+00 -9.865763217456934298e-01
4.182825973917852380e+00 6.523823261081037828e+00 -1.057504285113041398e+01
6.028899414873682083e+00 1.754220471179589680e+01 3.034452352384203966e+00
7.814230213983194062e+00 1.953473374669674456e+01 1.103424178108753395e+01
-7.540246293265086663e+00 4.998259405116608711e+00 -6.808403259362778570e+00
2.429371387985209463e+00 1.134520737311505734e+01 1.374930762139998741e+01
1.253338532752480106e+01 5.761573960002719375e+00 -3.516817167934241373e-01
5.406609909093067046e+00 4.112660441441359005e+00 4.391415056068615819e+00
3.583922276028689069e+00 1.680835418167861661e+01 -4.082973996526138905e+00
-1.692751575319707102e+00 1.280254684240511587e+01 -1.070575710550503246e+01
9.129069306963083719e+00 2.356900396161709654e+00 9.791067212369691575e+00
1.151115805013822380e+00 1.657345184015614592e+01 -4.811436865176354161e+00
1.256050608487201714e+01 1.459244709619721370e+01 -7.113233451248579531e-02
-9.766075480592165681e-01 3.380154495762209166e+00 7.916711945904291170e+00
5.350461263504805665e+00 1.670288713502916167e+01 -1.015736629954178838e+01
4.704867576002948582e+00 6.266263585174940864e+00 1.296147619835521780e+01
1.133246033821199372e+00 1.189311637659700338e+01 7.622614874123710749e+00
1.304567314678381384e+00 6.422192497310140524e+00 -4.803577665819199538e+00
-4.592429216550137916e+00 1.444269867155851195e+01 7.069373654077408808e+00
-9.020228581819853986e+00 2.013541459364809771e+00 1.896835717796089726e+00
2.589096765186272631e+00 1.744178457097533297e+01 -4.544458308124294632e+00
-6.266216422286182031e+00 9.717349647306672722e+00 -8.231117330004865451e+00
-9.447423272611745304e+00 1.835388737851767260e+01 -2.436785428848617652e-01
-5.869492005342265450e+00 1.750790821408164533e+01 6.291988591543550946e+00
-6.635934263409079215e+00 1.216148221493148007e+01 5.655519850444801655e+00
2.832313871003915295e+00 1.716014816547490796e+01 -4.454552209238606508e+00
4.668596450260970698e+00 1.810847231271661695e+00 5.404158529618840134e+00
2.816293074801845986e+00 1.916114059286547544e+01 -4.460904072963214340e+00
1.285765308038209209e+00 2.009870051254095458e+01 -4.804801450345712155e+00
1.260093691529522353e+01 1.392238383883063513e+01 1.351839786042226210e+00
5.549270189718463975e+00 1.500137202851334095e+01 4.141475005308265622e+00
6.094481361101578898e+00 1.759341544144173852e+01 2.824464190521059681e+00
1.260592968879526055e+01 6.379868034274056576e-01 9.905182914227943503e-01
4.853627050298161549e-01 8.466118341751199594e+00 -1.102887941437586505e+01
3.345874779480079386e+00 6.901478239552371718e+00 6.582100014363342133e+00
-2.035740817666457314e+00 1.481240484535137192e+01 -1.061256506177998027e+01
6.190915207748883375e+00 2.039350196521681013e+01 2.458483912996422216e+00
9.434373077069260205e+00 1.000723858807836208e+01 9.448966719669561698e+00
1.245356516787418677e+01 8.387270943747367369e+00 2.954970801916821710e+00
4.904181446980100390e+00 1.411020097538889218e+01 -1.033402852879204126e+01
-8.982715345440123400e+00 1.995280636647365213e+01 2.009354185784144597e+00
1.221075422790979914e+01 5.533933781063736568e+00 -2.124165392480189762e+00
-8.597973782222998906e+00 1.596748103841421340e+01 2.959985511064293195e+00
6.000851486409665370e+00 4.361236550058107397e-01 3.117483584462811042e+00
-8.234301209024087242e+00 2.747469329272543614e+00 3.651040651968863848e+00
-9.346335013050241614e+00 1.292096531111968538e+01 5.709963071123267397e-01
-9.383190728980359552e+00 2.084603090795755875e+01 -2.330136191581330785e+00
-8.605405633795726317e+00 1.028230898368348889e+01 2.944204362205096626e+00
-8.874864240648518532e+00 5.924750100228246552e+00 2.308809211112664794e+00
8.938844953388379366e+00 1.607776019253843813e+01 -7.779725188079499532e+00
1.246651083408494110e+01 1.640740482598218009e+01 2.870256040941558506e+00
3.595800813045259559e-01 9.201012563059194349e+00 -4.774044237453232142e+00
1.260572490688086411e+01 7.375630546293829859e+00 9.247567405076491109e-01
1.845383218500241673e+00 3.417892910842172505e+00 1.388290515274641557e+01
5.245032082117461414e+00 5.738956214162199920e+00 -1.020106711382303644e+01
1.258153957688683100e+01 6.476818871423352109e-01 2.137020963264796847e-01
-7.380430140086198243e+00 1.263388981840139103e+01 -7.018902027000788024e+00
1.103352456340043020e+01 4.153166425949430973e+00 7.136840377445197170e+00
1.953917597920566518e+00 1.985455929086464621e+01 7.338066405844909212e+00
9.654378016302091581e+00 1.478373362742186714e+01 -7.021307582449437312e+00
1.224325471599696691e+01 3.319292255203387221e+00 -1.995474142021300468e+00
1.400189438553989696e+00 1.667098107645647431e+01 7.541526925524985714e+00
-2.945815065801686838e-01 1.056331004961415054e+01 -1.096475810688340324e+01
6.305198223854301176e+00 3.058725370885130301e-01 1.831998826134877856e+00
5.632608924075871215e+00 5.580280337474843755e+00 -1.927899789280442366e+00
-3.536887253175858836e-01 2.340558500287835964e-01 -1.095760087084135037e+01
1.151782783521792020e+01 1.183410624579275261e+00 6.149760196644613153e+00
-9.335384171187042668e+00 1.970978813882892666e+01 -2.633522791931753204e+00
1.206683689843949558e+01 8.962860397154750913e+00 4.658351342745350898e+00
-6.121992289577550039e+00 1.050255761195520421e+01 -8.362171972869990810e+00
-3.509083816434795278e+00 1.444430421129462161e+01 -1.006602925791009540e+01
2.310095798502306286e-01 1.097923114898080854e+01 -1.101412283097284295e+01
-5.705600953060266711e+00 6.048891915451418910e+00 -8.714148566584242417e+00
1.937339698388650167e+00 4.461067476926048769e+00 7.344880394554678560e+00
-4.342932441039719649e+00 9.653730270562482119e+00 -9.639065866090449575e+00
-6.901163572687515568e+00 1.738954994779958518e+00 5.397235514639595166e+00
2.007089232634047704e+00 1.954871070711411818e+01 -1.099444029504936893e+01
2.759496751351007138e+00 1.433320227634856714e+01 6.947991497048183085e+00
-8.193805625266353587e+00 1.982436224510032829e+01 3.719781457439373717e+00
1.189395431406704162e+01 5.152488033353668229e+00 -3.160343191896067605e+00
1.157586752038381306e+01 3.748094667299681326e+00 -3.965699853562905552e+00
7.155259210278647863e+00 2.785822633597406561e+00 1.154477783157740056e+01
2.093518452755410486e+00 1.317056417374971211e+01 -4.686157762952183781e+00
-6.994661691167752160e+00 1.551013083690469685e+01 5.300745834388425060e+00
-9.340596402733088999e-01 1.147822306045430985e+01 7.916513591312674514e+00
-6.341348808158424610e+00 4.885690203440359092e+00 5.918082108577901401e+00
1.257443665332139915e+01 1.714743856490882479e+01 1.888266012517502368e+00
5.007210134673269586e+00 9.178558167921897493e+00 -1.029516312574477332e+01
9.143125725095719858e+00 1.355963523851176866e+01 -7.576575640775213394e+00
8.422382953171643205e-01 5.422023842297982732e+00 1.405208371596869199e+01
1.280858544383943753e+00 1.845107073460522429e+01 7.579094753421715680e+00
3.235481143833442097e+00 1.125589170894147450e+01 6.656945583582915660e+00
6.352124802931849779e+00 6.214750711030606389e+00 6.525363293310153523e-01
1.013854251239482629e+01 4.812203604150350422e+00 -6.422656694357832485e+00
1.952168287547565662e+00 4.863309479925169043e+00 7.338787599403659989e+00
6.342718539318002335e+00 1.031743774787353374e+01 1.471192019265322948e+00
7.810459788174644036e-01 1.743163101714487695e+01 -4.810356100629820553e+00
3.216658849074307991e+00 8.483995553406673551e+00 -1.081646858810255907e+01
5.471542547757894503e+00 1.567406674477064499e+01 -2.206816148861653115e+00
2.733706406840809233e+00 1.637814332289981323e+01 -4.492677272841486769e+00
1.133582313879701076e+01 1.300380850544634548e+01 -4.482298903440898208e+00
-5.944238482592548500e+00 1.721910587685899685e+01 6.236287245027162029e+00
-9.381108678409662005e+00 2.015205209294651212e+01 3.489611945481425059e-01
1.967563683503723126e+00 1.800422780773406473e+01 1.385713111853384127e+01
5.442452582233627822e+00 4.507640870827740009e+00 -2.253629572162868744e+00
1.054176431800471825e+01 4.287431951662211915e+00 -5.856404845689160865e+00
-8.423293337260133740e+00 3.705076428125788190e+00 3.310116921110789256e+00
5.196258085689025030e+00 6.212487369964591721e+00 -1.022086841359228693e+01
1.137412347708862681e+00 1.369136184894576402e+01 -4.811902598192445701e+00
4.353571499156339009e+00 1.690103028630795379e+01 1.311278287247384000e+01
5.814257391000734465e+00 8.835464954826655060e+00 3.597617906459059434e+00
1.039668276765770338e+00 8.415993466649901444e-01 1.402468781458604852e+01
5.544261565714763584e+00 1.995516559806878831e+01 4.150676612470022064e+00
4.300543905299750946e+00 1.377241271206498530e-01 -1.053935299213386401e+01
6.339390920003774355e+00 1.676078665412951363e+00 4.652036462124803373e-01
